"household_code","interview_date","id","crop","trans","quantity","value"
"TZFIL10",6/26/2014,"CROP01 (Rice)",10,3,2000,600000
"TZFIL10",7/15/2014,"CROP01 (Rice)",10,1,40,12000
"TZFIL10",7/15/2014,"CROP01 (Rice)",10,2,20,6000
"TZFIL10",7/15/2014,"CROP01 (Rice)",10,6,20,6000
"TZFIL10",8/4/2014,"CROP01 (Rice)",10,1,40,12000
"TZFIL10",8/4/2014,"CROP01 (Rice)",10,6,60,18000
"TZFIL10",8/14/2014,"CROP01 (Rice)",10,1,40,12000
"TZFIL10",8/14/2014,"CROP01 (Rice)",10,6,40,12000
"TZFIL10",8/27/2014,"CROP01 (Rice)",10,1,60,18000
"TZFIL10",9/10/2014,"CROP01 (Rice)",10,1,40,12000
"TZFIL10",9/30/2014,"CROP01 (Rice)",10,1,40,14000
"TZFIL10",9/30/2014,"CROP01 (Rice)",10,6,20,7000
"TZFIL10",10/15/2014,"CROP01 (Rice)",10,1,40,16000
"TZFIL10",10/15/2014,"CROP01 (Rice)",10,6,40,16000
"TZFIL10",10/29/2014,"CROP01 (Rice)",10,1,40,15000
"TZFIL10",11/13/2014,"CROP01 (Rice)",10,1,20,9000
"TZFIL10",11/13/2014,"CROP01 (Rice)",10,6,200,100000
"TZFIL10",11/27/2014,"CROP01 (Rice)",10,1,40,19000
"TZFIL10",12/10/2014,"CROP01 (Rice)",10,1,20,10000
"TZFIL10",1/18/2015,"CROP01 (Rice)",10,1,60,30000
"TZFIL10",1/18/2015,"CROP01 (Rice)",10,6,20,10000
"TZFIL10",2/18/2015,"CROP01 (Rice)",10,1,20,10000
"TZFIL10",6/15/2015,"CROP01 (Rice)",10,1,20,8000
"TZFIL10",6/15/2015,"CROP01 (Rice)",10,5,2400,1200000
"TZFIL10",6/26/2014,"CROP02 (Maize)",5,3,400,100000
"TZFIL10",8/4/2014,"CROP02 (Maize)",5,1,20,5000
"TZFIL10",8/14/2014,"CROP02 (Maize)",5,1,40,12000
"TZFIL10",9/10/2014,"CROP02 (Maize)",5,1,40,10000
"TZFIL10",9/30/2014,"CROP02 (Maize)",5,1,40,10000
"TZFIL10",10/15/2014,"CROP02 (Maize)",5,1,40,10000
"TZFIL10",10/29/2014,"CROP02 (Maize)",5,1,20,6000
"TZFIL10",11/13/2014,"CROP02 (Maize)",5,1,20,5000
"TZFIL10",11/27/2014,"CROP02 (Maize)",5,1,20,6000
"TZFIL10",12/10/2014,"CROP02 (Maize)",5,1,20,6000
"TZFIL10",1/18/2015,"CROP02 (Maize)",5,1,20,6000
"TZFIL10",2/1/2015,"CROP02 (Maize)",5,1,40,10000
