"id_member","household_code","M1age","M1gender","M1maritalstatus","M1enrolled","M1level","M1highesteduc","M1language","M1read","M1write"
1,"TZFIL10",14,1,2,0,,2,9,1,1
2,"TZFIL10",70,1,1,0,,2,99,1,1
3,"TZFIL10",5,1,2,0,,98,9,0,0
4,"TZFIL10",66,2,1,0,,1,9,0,0
5,"TZILF01",4,1,2,0,,98,9,0,0
6,"TZILF01",7,1,2,1,2,1,9,0,0
7,"TZILF01",18,2,2,0,,2,7,1,1
8,"TZILF01",0,2,2,0,,98,99,0,0
9,"TZILF01",25,2,2,0,,2,7,1,1
10,"TZILF03",12,1,2,0,,1,2,1,1
11,"TZILF03",23,1,2,0,,1,2,1,1
12,"TZILF03",74,1,1,0,,2,2,0,0
13,"TZILF03",75,2,1,0,,2,3,0,0
14,"TZILF04",25,1,2,0,,2,1,0,0
15,"TZILF04",15,1,2,0,,2,2,1,1
16,"TZILF04",13,2,2,1,2,2,2,1,1
17,"TZILF04",8,1,2,1,2,1,2,1,1
18,"TZILF04",41,2,4,0,,2,1,1,1
19,"TZILF05",14,1,2,0,,2,2,1,1
20,"TZILF05",0,1,2,0,,98,10,0,0
21,"TZILF05",9,1,2,1,2,1,2,1,1
22,"TZILF05",3,2,2,0,,98,10,0,0
23,"TZILF05",34,2,1,0,,2,2,1,1
24,"TZILF05",53,1,1,0,,2,10,1,1
25,"TZILF06",19,1,2,0,,2,1,1,1
26,"TZILF07",27,2,2,0,,2,1,1,1
27,"TZILF07",3,2,2,0,,98,4,0,0
28,"TZILF08",24,1,1,0,,2,5,1,1
29,"TZILF08",2,2,2,0,,98,5,0,0
30,"TZILF08",3,1,2,0,,98,5,0,0
31,"TZILF08",23,2,1,0,,2,2,1,1
32,"TZILF09",4,1,2,0,,98,1,0,0
33,"TZILF09",0,2,2,0,,98,1,0,0
34,"TZILF09",42,1,1,0,,2,1,1,1
35,"TZILF09",17,1,2,0,,98,2,1,1
36,"TZILF09",27,2,2,0,,98,2,1,1
37,"TZILF11",34,1,1,0,,2,99,1,1
38,"TZILF11",1,2,2,0,,98,99,0,0
39,"TZILF11",24,2,1,0,,2,99,1,1
40,"TZILF11",0,1,2,0,,98,6,0,0
41,"TZILF11",4,2,2,0,,98,99,0,0
42,"TZILF11",10,1,2,1,2,1,99,1,1
43,"TZILF12",23,1,2,0,,3,9,1,1
44,"TZILF12",9,2,2,1,2,1,5,1,1
45,"TZILF12",54,2,1,0,,2,9,1,1
46,"TZILF12",9,1,2,1,2,1,5,1,1
47,"TZILF12",16,2,2,0,,2,5,1,1
48,"TZILF12",12,1,2,1,2,1,9,1,1
49,"TZILF12",72,1,1,0,,2,9,1,1
50,"TZILF12",37,2,4,0,,2,9,1,1
51,"TZILF12",4,1,2,0,,98,9,0,0
52,"TZILF13",36,1,2,0,,1,99,1,1
53,"TZILF13",5,2,2,0,,98,99,0,0
54,"TZILF13",70,2,3,0,,98,99,0,0
55,"TZILF13",60,2,2,0,,98,99,0,0
56,"TZILF14",62,2,3,0,,98,3,0,0
57,"TZILF14",18,1,2,0,,2,99,1,1
58,"TZILF15",16,1,,,,,,,
59,"TZILF15",7,2,,1,2,1,,,
60,"TZILF15",20,1,2,0,,3,8,1,1
61,"TZILF15",5,1,,1,1,98,,,
62,"TZILF15",2,2,,,,,,,
63,"TZILF15",41,2,1,0,,2,9,1,1
64,"TZILF15",17,1,2,1,5,2,5,1,1
65,"TZILF15",16,1,2,1,5,2,8,1,1
66,"TZILF16",9,1,2,1,2,1,9,1,1
67,"TZILF16",74,2,3,0,,2,9,0,0
68,"TZILF16",2,2,2,0,,98,1,0,0
69,"TZILF16",25,2,5,0,,2,1,1,1
70,"TZILF16",11,2,2,1,2,1,1,1,1
71,"TZILF17",28,1,1,0,,2,2,1,1
72,"TZILF17",22,2,1,0,,2,2,1,1
73,"TZILF17",3,1,2,0,,98,99,0,0
74,"TZILF17",0,1,2,0,,98,2,0,0
75,"TZILF17",4,1,2,0,,98,2,0,0
76,"TZILF19",63,1,1,0,,3,9,1,1
77,"TZILF19",44,2,,,,,,,
78,"TZILF19",15,2,2,0,,2,9,1,1
79,"TZILF19",57,2,1,0,,98,9,0,0
80,"TZILF19",25,2,2,0,,2,2,1,1
81,"TZILF20",6,1,2,0,,98,1,0,0
82,"TZILF20",53,1,1,0,,2,1,1,1
83,"TZILF20",56,2,5,0,,2,1,1,1
84,"TZILF20",35,2,1,0,,2,9,1,1
85,"TZILF20",0,2,2,0,,98,1,0,0
86,"TZILF20",3,2,2,0,,98,1,0,0
87,"TZILF20",8,2,2,1,2,1,1,1,1
88,"TZILF21",7,2,2,1,2,1,8,0,0
89,"TZILF21",27,2,5,0,,2,99,1,1
90,"TZILF21",91,2,3,0,,98,99,0,0
91,"TZILF21",4,2,2,0,,98,8,0,0
92,"TZILF21",60,2,3,0,,98,99,0,0
93,"TZILF22",55,1,1,0,,98,1,0,0
94,"TZILF22",49,2,1,0,,2,1,0,0
95,"TZILF23",16,2,2,0,,2,1,1,1
96,"TZILF23",10,1,2,1,2,1,1,1,1
97,"TZILF23",35,2,3,0,,2,1,1,1
98,"TZILF23",0,2,2,0,,98,1,0,0
99,"TZILF23",4,2,2,0,,98,1,0,0
100,"TZILF23",13,2,2,1,3,2,1,1,1
101,"TZILF23",6,1,2,1,2,1,1,0,0
102,"TZILF24",5,1,2,0,,98,5,0,0
103,"TZILF24",33,2,1,0,,2,6,1,1
104,"TZILF24",8,1,2,1,2,1,5,1,1
105,"TZILF24",38,1,1,0,,2,5,1,1
106,"TZILF25",48,2,1,0,,2,99,1,1
107,"TZILF25",26,2,4,0,,2,8,1,1
108,"TZILF25",21,1,1,0,,2,8,1,1
109,"TZILF25",16,1,2,1,3,2,8,1,1
110,"TZILF25",19,1,2,0,,2,8,1,1
111,"TZILF25",21,1,2,1,2,1,8,1,1
112,"TZILF25",3,2,2,0,,98,7,0,0
113,"TZILF26",50,2,4,0,,2,99,1,1
114,"TZILF26",12,1,2,1,2,1,2,1,1
115,"TZILF26",12,1,2,1,2,1,2,1,1
116,"TZILF26",95,2,3,0,,98,99,1,1
117,"TZILF27",30,1,1,0,,2,9,1,1
118,"TZILF27",26,2,1,0,,2,99,1,1
119,"TZILF27",11,1,2,1,2,1,9,1,1
120,"TZILF27",0,1,2,0,,98,9,0,0
121,"TZILF27",8,2,2,1,2,1,9,1,1
122,"TZILF28",31,2,1,0,,2,2,1,1
123,"TZILF28",8,1,2,1,2,1,8,1,1
124,"TZILF28",13,1,2,0,,2,8,1,1
125,"TZILF28",36,1,1,0,,2,8,1,1
126,"TZILF28",17,2,2,0,,2,2,0,0
127,"TZILF28",3,1,2,1,1,98,8,0,0
128,"TZILF29",57,1,1,0,,98,5,0,0
129,"TZILF29",55,2,1,0,,2,1,1,1
130,"TZILF30",9,1,2,1,2,1,5,1,1
131,"TZILF30",5,1,2,1,1,98,5,0,0
132,"TZILF30",42,2,1,0,,2,9,1,1
133,"TZILF30",76,1,1,0,,98,5,1,1
134,"TZILF34",14,2,2,0,,2,1,1,1
135,"TZILF34",3,1,2,0,,98,1,0,0
136,"TZILF34",10,1,2,1,2,1,1,1,1
137,"TZILF34",61,1,1,0,,2,1,1,1
138,"TZILF34",5,2,2,0,,98,1,0,0
139,"TZILF34",21,2,2,0,,2,1,1,1
140,"TZILF34",16,1,2,0,,2,1,1,1
141,"TZILF34",17,1,2,0,,2,1,1,1
142,"TZILF34",54,2,1,0,,2,5,1,1
143,"TZILF34",0,2,2,0,,98,1,0,0
144,"TZILG13",24,2,1,0,,2,1,1,1
145,"TZILG13",2,1,2,0,,98,5,0,0
146,"TZILG13",34,1,1,0,,2,5,1,1
147,"TZKIMG01",25,1,2,1,5,3,2,1,1
148,"TZKIMG01",63,1,5,0,,2,2,1,1
149,"TZKIMG02",0,1,2,0,,98,3,0,0
150,"TZKIMG02",10,2,2,1,2,1,3,1,1
151,"TZKIMG02",43,2,1,0,,2,3,1,1
152,"TZKIMG02",13,1,2,0,,2,3,1,1
153,"TZKIMG02",19,2,2,0,,2,3,1,1
154,"TZKIMG02",57,1,1,0,,98,3,0,0
155,"TZKIMG03",8,2,2,1,2,1,2,0,0
156,"TZKIMG03",54,2,1,0,,98,2,0,0
157,"TZKIMG03",70,1,1,0,,98,2,0,0
158,"TZKIMG04",36,2,1,0,,98,2,0,0
159,"TZKIMG04",43,1,1,0,,2,2,1,1
160,"TZKIMG04",14,2,2,1,2,1,2,1,1
161,"TZKIMG04",17,2,2,0,,2,2,1,1
162,"TZKIMG04",9,2,2,1,2,1,2,1,1
163,"TZKIMG05",18,2,1,0,,2,2,1,1
164,"TZKIMG05",0,2,2,0,,98,2,0,0
165,"TZKIMG05",29,1,1,0,,2,2,1,1
166,"TZKIMG06",22,2,2,0,,2,2,1,1
167,"TZKIMG06",52,2,3,0,,98,2,0,0
168,"TZKIMG06",5,2,2,0,,98,2,0,0
169,"TZKIMG07",65,2,1,0,,98,2,0,0
170,"TZKIMG07",3,2,2,0,,98,2,0,0
171,"TZKIMG07",50,2,1,0,,98,2,0,0
172,"TZKIMG07",10,1,2,0,,1,2,0,0
173,"TZKIMG07",66,1,1,0,,98,2,0,0
174,"TZKIMG07",30,2,2,0,,98,2,0,0
175,"TZKIMG08",29,2,1,0,,2,2,1,1
176,"TZKIMG08",5,2,2,1,1,98,2,0,0
177,"TZKIMG08",0,2,2,0,,98,2,0,0
178,"TZKIMG08",70,1,3,0,,98,2,0,0
179,"TZKIMG08",8,2,2,0,,1,2,0,0
180,"TZKIMG08",30,1,1,0,,2,2,1,1
181,"TZKIMG09",74,1,3,0,,1,2,1,1
182,"TZKIMG11",2,1,2,0,,98,2,0,0
183,"TZKIMG11",41,2,1,0,,2,2,0,0
184,"TZKIML01",33,2,1,0,,2,2,1,1
185,"TZKIML01",35,1,1,0,,2,2,1,1
186,"TZKIML02",35,2,1,0,,2,2,1,1
187,"TZKIML02",49,1,1,0,,2,2,1,1
188,"TZKIML03",35,1,1,0,,2,2,1,1
189,"TZKIML03",7,2,2,1,1,98,2,0,0
190,"TZKIML03",31,2,1,0,,2,1,1,1
191,"TZKIML03",4,1,2,0,,98,2,0,0
192,"TZKIML04",11,2,2,1,2,1,2,0,0
193,"TZKIML04",13,2,2,1,2,1,2,1,1
194,"TZKIML04",18,1,2,0,,1,2,1,1
195,"TZKIML04",63,1,5,0,,2,2,1,1
196,"TZKIML04",49,2,4,0,,2,2,0,0
197,"TZKIML04",16,2,2,0,,2,2,1,1
198,"TZKIML05",40,2,3,0,,2,2,1,1
199,"TZKIML05",12,1,2,1,2,1,2,1,1
200,"TZKIML05",14,1,2,1,2,1,2,1,1
201,"TZKIML05",6,2,2,1,1,98,2,0,0
202,"TZKIML05",18,2,2,0,,2,2,1,1
